stock_item_name,sales_qty_6m_avg,purchase_qty_1m,closing_stock_qty,purchase_rate,sales_amount,purchase_amount,closing_stock_amount,scenario_name
ALLEN BOLT 10 X 30 UNBRAKO,3,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 10 X 35 MFL,48,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 10 X 40 MFL,38,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 10 X 45 MFL,100,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 10 X 50 MFL,17,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 10 X 50 UNBRAKO,38,0,10,0,0,0,0,STARVE CRITICAL
ALLEN BOLT 10 X 55 MFL,58,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 10 X 60 MFL,25,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 10 X 60 UNBRAKO,3,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 10 X 65 MFL,50,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 10 X 70 MFL,42,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 10 X 75 MFL,58,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 10 X 80 MFL,42,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 10 X 90 MFL,42,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 12 X 100 MFL,33,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 12 X 110 MFL,33,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 12 X 120 MFL,25,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 12 X 130 MFL,21,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 12 X 140 MFL,25,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 12 X 150 MFL,25,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 12 X 25 MFL,97,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 12 X 30 MFL,42,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 12 X 30 UNBRAKO,3,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 12 X 35 MFL,132,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 12 X 35 UNBRAKO,7,0,20,0,0,0,0,STARVE ZERO
ALLEN BOLT 12 X 40 MFL,63,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 12 X 40 UNBRAKO,3,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 12 X 45 MFL,50,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 12 X 50 MFL,38,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 12 X 55 MFL,50,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 12 X 60 MFL,17,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 12 X 60 UNBRAKO,3,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 12 X 65 MFL,50,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 12 X 70 MFL,54,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 12 X 75 MFL,33,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 12 X 80 MFL,25,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 12 X 90 MFL,25,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 12 X 90 UNBRAKO,3,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 16 X 100 MFL,18,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 16 X 110 MFL,13,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 16 X 120 MFL,13,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 16 X 130 MFL,12,0,1,0,0,0,0,STARVE CRITICAL
ALLEN BOLT 16 X 140 MFL,13,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 16 X 150 MFL,13,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 16 X 160 UNBRAKO,3,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 16 X 180 UNBRAKO,3,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 16 X 220 UNBRAKO,3,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 16 X 35 MFL,54,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 16 X 40 MFL,33,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 16 X 45 MFL,33,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 16 X 50 MFL,31,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 16 X 55 MFL,17,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 16 X 60 MFL,25,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 16 X 65 MFL,25,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 16 X 70 MFL,25,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 16 X 75 MFL,15,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 16 X 80 MFL,25,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 16 X 90 MFL,20,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 20 X 100 MFL,10,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 20 X 110 MFL,10,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 20 X 40 MFL,20,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 20 X 45 MFL,20,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 20 X 50 MFL,8,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 20 X 55 MFL,13,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 20 X 60 MFL,13,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 20 X 65 MFL,13,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 20 X 80 MFL,13,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 20 X 90 MFL,13,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 24 X 100 MFL,5,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 24 X 120 MFL,5,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 24 X 130 MFL,5,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 24 X 140 MFL,5,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 24 X 50 MFL,30,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 24 X 60 MFL,10,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 24 X 70 MFL,8,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 24 X 75 MFL,8,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 24 X 80 MFL,8,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 24 X 90 MFL,5,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 4 X 12 MFL,417,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 4 X 16 MFL,417,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 4 X 20 MFL,417,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 4 X 25 MFL,233,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 4 X 30 MFL,267,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 4 X 50 MFL,167,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 5 X 12 MFL,417,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 5 X 16 MFL,133,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 5 X 20 MFL,86,0,4,0,0,0,0,STARVE CRITICAL
ALLEN BOLT 5 X 25 MFL,125,0,30,0,0,0,0,STARVE CRITICAL
ALLEN BOLT 5 X 30 MFL,133,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 5 X 30 UNBRAKO,5,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 6 X 10 MFL,462,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 6 X 12 MFL,333,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 6 X 16 MFL,25,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 6 X 20 UNBRAKO,50,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 6 X 25 MFL,10,0,1,0,0,0,0,STARVE CRITICAL
ALLEN BOLT 6 X 30 MFL,72,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 6 X 30 UNBRAKO,17,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 6 X 35 MFL,150,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 6 X 45 MFL,233,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 6 X 50 MFL,163,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 6 X 50 UNBRAKO,33,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 6 X 60 MFL,127,0,1,0,0,0,0,STARVE CRITICAL
ALLEN BOLT 6 X 70 MFL,117,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 6 X 80 MFL,133,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 8 X 100 MFL,42,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 8 X 110 MFL,50,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 8 X 120 MFL,50,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 8 X 16 MFL,367,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 8 X 20 MFL,233,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 8 X 20 UNBRAKO,7,0,40,0,0,0,0,STARVE ZERO
ALLEN BOLT 8 X 25 MFL,290,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 8 X 25 UNBRAKO,33,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 8 X 30 MFL,145,0,1,0,0,0,0,STARVE CRITICAL
ALLEN BOLT 8 X 35 MFL,155,0,34,0,0,0,0,STARVE CRITICAL
ALLEN BOLT 8 X 40 MFL,113,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 8 X 45 MFL,67,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 8 X 50 MFL,104,0,1,0,0,0,0,STARVE CRITICAL
ALLEN BOLT 8 X 55 MFL,62,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 8 X 60 MFL,52,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 8 X 60 UNBRAKO,11,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 8 X 65 MFL,47,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 8 X 70 MFL,37,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 8 X 70 UNBRAKO,8,0,0,0,0,0,0,STARVE ZERO
