stock_item_name,sales_qty_6m_avg,purchase_qty_1m,closing_stock_qty,purchase_rate,sales_amount,purchase_amount,closing_stock_amount,scenario_name
HOLESAW CUTTER 48 BIPICO,0,0,0,0,0,0,0,STARVE ZERO
HOOK WRENCH 120 X 180,0,0,0,0,0,0,0,STARVE ZERO
HOOK WRENCH 80 X 120,1,0,0,0,0,0,0,STARVE ZERO
HOSE CLAMP 1-1/2,17,0,0,0,0,0,0,STARVE ZERO
"HOSE CLAMP 3/4""",17,0,0,0,0,0,0,STARVE ZERO
HSS  LH TAP 27 X 3 BOT TOTEM,6,0,5,0,0,0,0,STARVE WATCH
HSS BIMETAL BLADE 12 X 1/2 BIPICO,167,0,0,0,0,0,0,STARVE ZERO
HSS BIMETAL BLADE 16 X 1-1/4 MIRANDA,1,0,0,0,0,0,0,STARVE ZERO
HSS CENTRE DRILL A 1 X 3.15 ADDISON,3,0,0,0,0,0,0,STARVE ZERO
HSS CENTRE DRILL A 1.25 X 3.15 ADDISON,6,0,0,0,0,0,0,STARVE ZERO
HSS CENTRE DRILL A 1.6 X 4 TOTEM,28,0,3,0,0,0,0,STARVE CRITICAL
HSS CENTRE DRILL A 2.5 x 6.3 MIRANDA,17,0,0,0,0,0,0,STARVE ZERO
HSS CENTRE DRILL A 8 X 20 ADDISON,2,0,1,0,0,0,0,STARVE WATCH
HSS CENTRE DRILL B 2.5 X 10 ADDISON,29,0,0,0,0,0,0,STARVE ZERO
HSS CENTRE DRILL B 2.5 X 10 TOTEM,14,0,4,0,0,0,0,STARVE CRITICAL
HSS CENTRE DRILL B 3.15 X 11.2 ADDISON,33,0,3,0,0,0,0,STARVE CRITICAL
HSS CENTRE DRILL B 5 X 18 ADDISON,1,0,1,0,0,0,0,STARVE WATCH
HSS CENTRE DRILL BS4 (1/8 X 5/16) MIRANDA,13,0,6,0,0,0,0,STARVE CRITICAL
HSS CENTRE DRILL BS6 TOTEM,2,0,0,0,0,0,0,STARVE ZERO
HSS DRILL .4 HITTCO,3,0,3,0,0,0,0,STARVE WATCH
HSS DRILL .43 HITTCO,8,0,0,0,0,0,0,STARVE ZERO
HSS DRILL .44 HITTCO,8,0,0,0,0,0,0,STARVE ZERO
HSS DRILL .46 HITTCO,2,0,0,0,0,0,0,STARVE ZERO
HSS DRILL .49 HITTCO,2,0,0,0,0,0,0,STARVE ZERO
HSS DRILL .55 HITTCO,3,0,0,0,0,0,0,STARVE ZERO
HSS DRILL .62 HITTCO,3,0,0,0,0,0,0,STARVE ZERO
HSS DRILL .63 HITTCO,2,0,0,0,0,0,0,STARVE ZERO
HSS DRILL .64 HITTCO,8,0,0,0,0,0,0,STARVE ZERO
HSS DRILL .65 HITTCO,12,0,10,0,0,0,0,STARVE WATCH
HSS DRILL .66 HITTCO,8,0,0,0,0,0,0,STARVE ZERO
HSS DRILL .67 HITTCO,12,0,0,0,0,0,0,STARVE ZERO
HSS DRILL .68 HITTCO,3,0,0,0,0,0,0,STARVE ZERO
HSS DRILL .69 HITTICO,8,0,0,0,0,0,0,STARVE ZERO
HSS DRILL .74 HITTCO,17,0,10,0,0,0,0,STARVE CRITICAL
HSS DRILL .76 HITTCO,12,0,0,0,0,0,0,STARVE ZERO
HSS DRILL .77 HITTCO,3,0,0,0,0,0,0,STARVE ZERO
HSS DRILL .79 HITTCO,8,0,0,0,0,0,0,STARVE ZERO
HSS DRILL .81 HITTCO,8,0,0,0,0,0,0,STARVE ZERO
HSS DRILL .82 HITTCO,3,0,0,0,0,0,0,STARVE ZERO
HSS DRILL .83 HITTCO,8,0,0,0,0,0,0,STARVE ZERO
HSS DRILL .86 HITTCO,3,0,0,0,0,0,0,STARVE ZERO
HSS DRILL .89 HITTCO,3,0,0,0,0,0,0,STARVE ZERO
HSS DRILL 1.10 MIRANDA,73,0,71,0,0,0,0,STARVE WATCH
HSS DRILL 1.23 SSMT,17,0,0,0,0,0,0,STARVE ZERO
HSS DRILL 1.24 SSMT,17,0,0,0,0,0,0,STARVE ZERO
HSS DRILL 1.5,2,0,40,0,0,0,0,STARVE ZERO
"HSS DRILL 1/2"" (12.7) TOTEM",1,0,0,0,0,0,0,STARVE ZERO
HSS DRILL 10.2 IT,2,0,0,0,0,0,0,STARVE ZERO
HSS DRILL 10.2 TOTEM,20,0,17,0,0,0,0,STARVE WATCH
HSS DRILL 10.3 IT,2,0,10,0,0,0,0,STARVE ZERO
HSS DRILL 10.4 MIRANDA GOLD,2,0,1,0,0,0,0,STARVE CRITICAL
HSS DRILL 10.4 TOTEM,3,0,5,0,0,0,0,STARVE WATCH
HSS DRILL 10.5 IT,0,0,0,0,0,0,0,STARVE ZERO
HSS DRILL 10.5 MIRANDA GOLD,28,0,12,0,0,0,0,STARVE CRITICAL
HSS DRILL 10.5 TOTEM,13,0,5,0,0,0,0,STARVE CRITICAL
HSS DRILL 10.9 ADDISON,2,0,2,0,0,0,0,STARVE WATCH
HSS DRILL 10.9 MIRANDA,7,0,5,0,0,0,0,STARVE WATCH
"HSS DRILL 11/32"" (8.73) IT",1,0,0,0,0,0,0,STARVE ZERO
HSS DRILL 12 MIRANDA,126,0,75,0,0,0,0,STARVE WATCH
HSS DRILL 12.2 ADDISON,14,0,9,0,0,0,0,STARVE WATCH
HSS DRILL 12.2 MIRANDA GOLD,2,0,0,0,0,0,0,STARVE ZERO
HSS DRILL 12.5 IT,1,0,0,0,0,0,0,STARVE ZERO
HSS DRILL 13.3 ADDISON,2,0,1,0,0,0,0,STARVE CRITICAL
HSS DRILL 13.5 TOTEM,1,0,0,0,0,0,0,STARVE ZERO
HSS DRILL 14 ADDISON,15,0,5,0,0,0,0,STARVE CRITICAL
HSS DRILL 14 MIRANDA GOLD,1,0,0,0,0,0,0,STARVE ZERO
HSS DRILL 14.5 TOTEM,1,0,0,0,0,0,0,STARVE ZERO
HSS DRILL 15.8 ADDISON,1,0,0,0,0,0,0,STARVE ZERO
"HSS DRILL 17/64"" (6.75) TOTEM",2,0,0,0,0,0,0,STARVE ZERO
HSS DRILL 19.0 MIRANDA,1,0,1,0,0,0,0,STARVE WATCH
HSS DRILL 19.5 MIRANDA,0,0,0,0,0,0,0,STARVE ZERO
HSS DRILL 2.2 TOTEM,13,0,10,0,0,0,0,STARVE WATCH
HSS DRILL 2.6 ADDISON,43,0,4,0,0,0,0,STARVE CRITICAL
HSS DRILL 20 ADDISON,1,0,1,0,0,0,0,STARVE WATCH
HSS DRILL 22.0 ADDISON,0,0,0,0,0,0,0,STARVE ZERO
"HSS DRILL 25/64"" (9.92) IT",2,0,0,0,0,0,0,STARVE ZERO
HSS DRILL 3 IT,28,0,0,0,0,0,0,STARVE ZERO
HSS DRILL 3 IT GOLD,5,0,0,0,0,0,0,STARVE ZERO
HSS DRILL 3 JK,5,0,0,0,0,0,0,STARVE ZERO
HSS DRILL 3 TOTEM,522,0,310,0,0,0,0,STARVE WATCH
HSS DRILL 3.1 ADDISON,103,0,2,0,0,0,0,STARVE CRITICAL
HSS DRILL 3.1 IT,2,0,0,0,0,0,0,STARVE ZERO
HSS DRILL 3.2 ADDISON,120,0,1,0,0,0,0,STARVE CRITICAL
HSS DRILL 3.2 MIRANDA,541,0,281,0,0,0,0,STARVE WATCH
HSS DRILL 3.2 TOTEM,97,0,20,0,0,0,0,STARVE CRITICAL
HSS DRILL 3.3 IT,12,0,0,0,0,0,0,STARVE ZERO
HSS DRILL 3.3 MIRANDA,220,0,88,0,0,0,0,STARVE CRITICAL
HSS DRILL 3.3 TOTEM,53,0,20,0,0,0,0,STARVE CRITICAL
HSS DRILL 3.4 IT,10,0,0,0,0,0,0,STARVE ZERO
HSS DRILL 3.5 IT,10,0,0,0,0,0,0,STARVE ZERO
HSS DRILL 3.5 MIRANDA GOLD,48,0,15,0,0,0,0,STARVE CRITICAL
HSS DRILL 3.5 TOTEM,50,0,0,0,0,0,0,STARVE ZERO
HSS DRILL 3.6 TOTEM,12,0,0,0,0,0,0,STARVE ZERO
HSS DRILL 3.8 IT,2,0,0,0,0,0,0,STARVE ZERO
HSS DRILL 4 TOTEM,142,0,27,0,0,0,0,STARVE CRITICAL
HSS DRILL 4.1 IT,3,0,0,0,0,0,0,STARVE ZERO
HSS DRILL 4.2 IT,10,0,10,0,0,0,0,STARVE WATCH
HSS DRILL 4.2 MIRANDA GOLD,46,0,45,0,0,0,0,STARVE WATCH
HSS DRILL 4.3 TOTEM,122,0,20,0,0,0,0,STARVE CRITICAL
HSS DRILL 4.9 IT,2,0,0,0,0,0,0,STARVE ZERO
HSS DRILL 5 IT,13,0,0,0,0,0,0,STARVE ZERO
HSS DRILL 5 TOTEM,247,0,23,0,0,0,0,STARVE CRITICAL
HSS DRILL 5.1 IT,5,0,0,0,0,0,0,STARVE ZERO
HSS DRILL 5.1 MIRANDA GOLD,35,0,3,0,0,0,0,STARVE CRITICAL
HSS DRILL 5.2 IT,2,0,0,0,0,0,0,STARVE ZERO
HSS DRILL 5.2 MIRANDA SUPER,2,0,0,0,0,0,0,STARVE ZERO
HSS DRILL 5.2 TOTEM,105,0,22,0,0,0,0,STARVE CRITICAL
HSS DRILL 5.3 IT,3,0,0,0,0,0,0,STARVE ZERO
HSS DRILL 5.3 TOTEM,130,0,20,0,0,0,0,STARVE CRITICAL
HSS DRILL 5.5 MIRANDA,103,0,88,0,0,0,0,STARVE WATCH
HSS DRILL 5.5 TOTEM,22,0,15,0,0,0,0,STARVE WATCH
HSS DRILL 5.6 MIRANDA GOLD,17,0,0,0,0,0,0,STARVE ZERO
"HSS DRILL 5/32""(3.97) MIRANDA",8,0,0,0,0,0,0,STARVE ZERO
HSS DRILL 5/8 (15.87) MIRANDA GOLD,2,0,1,0,0,0,0,STARVE CRITICAL
HSS DRILL 6.1 IT,5,0,0,0,0,0,0,STARVE ZERO
HSS DRILL 6.2 ADDISON,92,0,2,0,0,0,0,STARVE CRITICAL
HSS DRILL 6.2 IT,3,0,0,0,0,0,0,STARVE ZERO
HSS DRILL 6.6 MIRANDA GOLD,20,0,2,0,0,0,0,STARVE CRITICAL
HSS DRILL 6.8 ADDISON,101,0,52,0,0,0,0,STARVE CRITICAL
HSS DRILL 6.8 IT,3,0,0,0,0,0,0,STARVE ZERO
HSS DRILL 6.9 MIRANDA GOLD,15,0,3,0,0,0,0,STARVE CRITICAL
HSS DRILL 7 ADDISON,56,0,53,0,0,0,0,STARVE WATCH
HSS DRILL 7.2 ADDISON,17,0,16,0,0,0,0,STARVE WATCH
HSS DRILL 7.2 MIRANDA GOLD,3,0,1,0,0,0,0,STARVE CRITICAL
HSS DRILL 7.6 ADDISON,4,0,4,0,0,0,0,STARVE WATCH
HSS DRILL 7.8 MIRANDA GOLD,5,0,32,0,0,0,0,STARVE WATCH
HSS DRILL 7.8 TOTEM,11,0,0,0,0,0,0,STARVE ZERO
"HSS DRILL 7/64"" (2.78) ADDISON",33,0,20,0,0,0,0,STARVE WATCH
HSS DRILL 8.2 MIRANDA GOLD,8,0,0,0,0,0,0,STARVE ZERO
HSS DRILL 8.3 MIRANDA,14,0,6,0,0,0,0,STARVE CRITICAL
HSS DRILL 8.5 IT,1,0,0,0,0,0,0,STARVE ZERO
HSS DRILL 8.5 MIRANDA,153,0,16,0,0,0,0,STARVE CRITICAL
HSS DRILL 8.5 TOTEM,71,0,69,0,0,0,0,STARVE WATCH
HSS DRILL 8.7 MIRANDA,80,0,29,0,0,0,0,STARVE CRITICAL
HSS DRILL 8.7 TOTEM,3,0,0,0,0,0,0,STARVE ZERO
HSS DRILL 9 ADDISON,64,0,8,0,0,0,0,STARVE CRITICAL
HSS DRILL 9 TOTEM,10,0,8,0,0,0,0,STARVE WATCH
HSS DRILL 9.2 TOTEM,3,0,0,0,0,0,0,STARVE ZERO
HSS DRILL 9.27 X 81 X 125 TIN COATED TOTEM,42,0,0,0,0,0,0,STARVE ZERO
HSS DRILL 9.4 ADDISON,10,0,11,0,0,0,0,STARVE WATCH
HSS DRILL 9.4 MIRANDA GOLD,10,0,5,0,0,0,0,STARVE CRITICAL
HSS DRILL 9.7 ADDISON,8,0,8,0,0,0,0,STARVE WATCH
HSS DRILL 9/64 (3.57) IT,3,0,0,0,0,0,0,STARVE ZERO
HSS DRILL 9/64 (3.57) MIRANDA,5,0,0,0,0,0,0,STARVE ZERO
"HSS DRILL SET 1/16"" TO 1/2"" MIRANDA",0,0,0,0,0,0,0,STARVE ZERO
HSS DRILL WG 46 HITTCO,3,0,0,0,0,0,0,STARVE ZERO
HSS DRILL WG- 67 SSMT,22,0,50,0,0,0,0,STARVE WATCH
HSS DRILL WG- 77 HITTCO,2,0,0,0,0,0,0,STARVE ZERO
HSS DRILL WG-43 (2.26) ADDISON,7,0,0,0,0,0,0,STARVE ZERO
"HSS ENDMILL 1/2"" (12.7) MIRANDA",0,0,0,0,0,0,0,STARVE ZERO
HSS ENDMILL 10 ADDISON,15,0,7,0,0,0,0,STARVE CRITICAL
HSS ENDMILL 10.5 ADDISON,1,0,0,0,0,0,0,STARVE ZERO
HSS ENDMILL 12 YG,1,0,1,0,0,0,0,STARVE WATCH
HSS ENDMILL 13 YG,0,0,0,0,0,0,0,STARVE ZERO
HSS ENDMILL 14 MIRANDA,6,0,3,0,0,0,0,STARVE CRITICAL
HSS ENDMILL 14 YG,1,0,0,0,0,0,0,STARVE ZERO
HSS ENDMILL 15 MIRANDA,5,0,0,0,0,0,0,STARVE ZERO
HSS ENDMILL 16 YG,1,0,0,0,0,0,0,STARVE ZERO
HSS ENDMILL 18 ADDISON,2,0,1,0,0,0,0,STARVE WATCH
HSS ENDMILL 18 YG,1,0,0,0,0,0,0,STARVE ZERO
HSS ENDMILL 19 YG,1,0,0,0,0,0,0,STARVE ZERO
HSS ENDMILL 20 MIRANDA,3,0,3,0,0,0,0,STARVE WATCH
HSS ENDMILL 20 YG,1,0,0,0,0,0,0,STARVE ZERO
HSS ENDMILL 21 MIRANDA,0,0,0,0,0,0,0,STARVE ZERO
HSS ENDMILL 22 ADDISON,3,0,0,0,0,0,0,STARVE ZERO
HSS ENDMILL 24 ADDISON,0,0,0,0,0,0,0,STARVE ZERO
"HSS ENDMILL 3/8"" ( 9.52 ) ADDISON",1,0,0,0,0,0,0,STARVE ZERO
HSS ENDMILL 32 MIRANDA,0,0,1,0,0,0,0,STARVE ZERO
HSS ENDMILL 5 YG,1,0,0,0,0,0,0,STARVE ZERO
HSS ENDMILL 7 YG,1,0,0,0,0,0,0,STARVE ZERO
HSS ENDMILL 9 YG,1,0,0,0,0,0,0,STARVE ZERO
HSS EXTRA LONG DRILL 10 X 300 ADDISON,1,0,0,0,0,0,0,STARVE ZERO
HSS EXTRA LONG DRILL 10.2 X 300 IT,0,0,0,0,0,0,0,STARVE ZERO
HSS EXTRA LONG DRILL 11 X 250 MIRANDA,0,0,0,0,0,0,0,STARVE ZERO
HSS EXTRA LONG DRILL 2 X 100 ADDISON,2,0,3,0,0,0,0,STARVE WATCH
HSS EXTRA LONG DRILL 2.5 X 150 ADDISON,1,0,0,0,0,0,0,STARVE ZERO
HSS EXTRA LONG DRILL 3.2 X 200 IT,0,0,0,0,0,0,0,STARVE ZERO
"HSS EXTRA LONG DRILL 5/16"" X 250 IT",1,0,0,0,0,0,0,STARVE ZERO
HSS EXTRA LONG DRILL 6 X 200 TOTEM,8,0,0,0,0,0,0,STARVE ZERO
HSS EXTRA LONG DRILL 6.5 X 215 YG,0,0,0,0,0,0,0,STARVE ZERO
HSS EXTRA LONG DRILL 6.5 X 250 IT,5,0,0,0,0,0,0,STARVE ZERO
HSS EXTRA LONG DRILL 6.5 X 250 MIRANDA,2,0,0,0,0,0,0,STARVE ZERO
HSS EXTRA LONG DRILL 7 X 200 MIRANDA,0,0,0,0,0,0,0,STARVE ZERO
HSS EXTRA LONG DRILL 7 X 300 IT,0,0,0,0,0,0,0,STARVE ZERO
HSS EXTRA LONG DRILL 7 X 350 IT,1,0,0,0,0,0,0,STARVE ZERO
HSS EXTRA LONG DRILL 8 X 240 YG,3,0,0,0,0,0,0,STARVE ZERO
HSS EXTRA LONG DRILL 8 X 250 TOTEM,2,0,0,0,0,0,0,STARVE ZERO
HSS EXTRA LONG DRILL 8 X 350 ADDISON,1,0,0,0,0,0,0,STARVE ZERO
HSS EXTRA LONG DRILL 9 X 250 ADDISON,0,0,0,0,0,0,0,STARVE ZERO
HSS FLAT TOOLBIT 1/2 X 3/4 X 6 T42 MIRANDA,0,0,0,0,0,0,0,STARVE ZERO
HSS FLAT TOOLBIT 1/4 X 1/2 X 6 III MIRANDA,1,0,0,0,0,0,0,STARVE ZERO
HSS FLAT TOOLBIT 3/8 X 3/4 X 6 III BIPICO,0,0,0,0,0,0,0,STARVE ZERO
HSS FLAT TOOLBIT 3/8 X 3/4 X 6 III MIRANDA,2,0,1,0,0,0,0,STARVE WATCH
"HSS HAND REAMER 1/2"" (12.7) MIRANDA",0,0,0,0,0,0,0,STARVE ZERO
"HSS HAND REAMER 1/4"" ( 6.35 ) IT",1,0,0,0,0,0,0,STARVE ZERO
HSS HAND REAMER 12.5 ADDISON,0,0,0,0,0,0,0,STARVE ZERO
HSS HAND REAMER 14 IT,0,0,0,0,0,0,0,STARVE ZERO
HSS HAND REAMER 18 ADDISON,0,0,0,0,0,0,0,STARVE ZERO
HSS HAND REAMER 7 MIRANDA,1,0,0,0,0,0,0,STARVE ZERO
HSS HAND REAMER 9 IT,2,0,0,0,0,0,0,STARVE ZERO
"HSS LH DIE 1/2"" BSW TOTEM",0,0,1,0,0,0,0,STARVE ZERO
HSS LH DIE 20 X 1.5 TOTEM,0,0,0,0,0,0,0,STARVE ZERO
HSS LH DIE 8 X 1.25 TOTEM,2,0,0,0,0,0,0,STARVE ZERO
HSS LH TAP 10 X 1.25 6G SPFL TIN ET,8,0,5,0,0,0,0,STARVE WATCH
HSS LH TAP 10 X 1.5 SPFL TIN ET,2,0,1,0,0,0,0,STARVE CRITICAL
HSS LH TAP 16 X 1.5 BOT YG,1,0,0,0,0,0,0,STARVE ZERO
HSS LH TAP 20 X 2 BOT TOTEM,1,0,0,0,0,0,0,STARVE ZERO
HSS LH TAP 22 X 1.5 BOT NEBSON,1,0,0,0,0,0,0,STARVE ZERO
HSS LH TAP 30 X 3.5 BOT TOTEM,8,0,1,0,0,0,0,STARVE CRITICAL
HSS LH TAP 5 X .8 SET TOTEM,0,0,0,0,0,0,0,STARVE ZERO
HSS LH TAP 6 X 1 BOT ET,8,0,0,0,0,0,0,STARVE ZERO
HSS LH TAP 8 X 1.25 SPPT TIN ET,1,0,0,0,0,0,0,STARVE ZERO
HSS LONG DRILL 1.6 ADDISON,1,0,0,0,0,0,0,STARVE ZERO
HSS LONG DRILL 1.6 IT,2,0,0,0,0,0,0,STARVE ZERO
HSS LONG DRILL 1.60 MIRANDA,2,0,0,0,0,0,0,STARVE ZERO
HSS LONG DRILL 1.8 ADDISON,42,0,2,0,0,0,0,STARVE CRITICAL
HSS LONG DRILL 10.6 MIRANDA,1,0,5,0,0,0,0,STARVE ZERO
HSS LONG DRILL 11.8 ADDISON,2,0,0,0,0,0,0,STARVE ZERO
HSS LONG DRILL 13.5 ADDISON,0,0,0,0,0,0,0,STARVE ZERO
HSS LONG DRILL 2.5 ADDISON,10,0,3,0,0,0,0,STARVE CRITICAL
HSS LONG DRILL 3 ADDISON,16,0,2,0,0,0,0,STARVE CRITICAL
HSS LONG DRILL 3 TOTEM,3,0,0,0,0,0,0,STARVE ZERO
HSS LONG DRILL 3.2 MIRANDA,24,0,9,0,0,0,0,STARVE CRITICAL
HSS LONG DRILL 3.9 TOTEM,2,0,0,0,0,0,0,STARVE ZERO
HSS LONG DRILL 4.7 MIRANDA,2,0,0,0,0,0,0,STARVE ZERO
HSS LONG DRILL 4.8 IT,2,0,0,0,0,0,0,STARVE ZERO
HSS LONG DRILL 5.1 IT,3,0,0,0,0,0,0,STARVE ZERO
HSS LONG DRILL 5.2 IT,2,0,0,0,0,0,0,STARVE ZERO
HSS LONG DRILL 5.2 TOTEM,0,0,0,0,0,0,0,STARVE ZERO
HSS LONG DRILL 5.5 ADDISON,3,0,2,0,0,0,0,STARVE WATCH
HSS LONG DRILL 5.8 ADDISON,3,0,0,0,0,0,0,STARVE ZERO
HSS LONG DRILL 5.8 IT,2,0,0,0,0,0,0,STARVE ZERO
HSS LONG DRILL 5.9 MIRANDA,10,0,0,0,0,0,0,STARVE ZERO
HSS LONG DRILL 5.9 TOTEM,2,0,0,0,0,0,0,STARVE ZERO
HSS LONG DRILL 6.2 YG,3,0,1,0,0,0,0,STARVE CRITICAL
HSS LONG DRILL 6.3 ADDISON,2,0,1,0,0,0,0,STARVE WATCH
HSS LONG DRILL 6.3 MIRANDA,5,0,5,0,0,0,0,STARVE ZERO
HSS LONG DRILL 7.1 MIRANDA,0,0,5,0,0,0,0,STARVE CRITICAL
HSS LONG DRILL 7.7 IT,1,0,0,0,0,0,0,STARVE ZERO
HSS LONG DRILL 7.9 ADDISON,2,0,0,0,0,0,0,STARVE ZERO
HSS LONG DRILL 8.6 MIRANDA,0,0,0,0,0,0,0,STARVE ZERO
HSS LONG ENDMILL 11 ADDISON,0,0,2,0,0,0,0,STARVE ZERO
HSS LONG ENDMILL 6 ADDISON,0,0,0,0,0,0,0,STARVE ZERO
HSS LONG LH TAP 16 X 1.5 TYPE C TOTEM,2,0,0,0,0,0,0,STARVE ZERO
HSS LONG LH TAP 18 X 1.5 TYPE C TOTEM,1,0,0,0,0,0,0,STARVE ZERO
HSS LONG LH TAP 24 X 3 7H TIN ET,2,0,0,0,0,0,0,STARVE ZERO
"HSS LONG TAP 1/4"" NPT OAL 6"" ET",3,0,0,0,0,0,0,STARVE ZERO
"HSS LONG TAP 1/4"" UNC TYPE C TIN ET",4,0,0,0,0,0,0,STARVE ZERO
HSS LONG TAP 10 X 1.5 SPFL ET,7,0,0,0,0,0,0,STARVE ZERO
HSS LONG TAP 10 X 1.5 SPFL TIN ET,28,0,5,0,0,0,0,STARVE CRITICAL
HSS LONG TAP 10 X 1.5 TYPE B SPPT TIN ET,3,0,0,0,0,0,0,STARVE ZERO
HSS LONG TAP 10 X 1.5 TYPE C TIN ET,51,0,7,0,0,0,0,STARVE CRITICAL
HSS LONG TAP 12 X 1.75 SPFL ET,2,0,0,0,0,0,0,STARVE ZERO
HSS LONG TAP 12 X 1.75 SPFL TIN ET,3,0,0,0,0,0,0,STARVE ZERO
HSS LONG TAP 15 X 1.5 TYPE C TOTEM,2,0,0,0,0,0,0,STARVE ZERO
HSS LONG TAP 16 X 1.5 TYPE C TOTEM,9,0,0,0,0,0,0,STARVE ZERO
HSS LONG TAP 16 X 2 SPFL ET,1,0,0,0,0,0,0,STARVE ZERO
HSS LONG TAP 16 X 2 TYPE C TOTEM,1,0,0,0,0,0,0,STARVE ZERO
HSS LONG TAP 18 X 2.5 TYPE C TIN ET,0,0,0,0,0,0,0,STARVE ZERO
HSS LONG TAP 20 X 2.5 SPPT TIN ET,1,0,0,0,0,0,0,STARVE ZERO
HSS LONG TAP 24 X 1.5 TYPE C TIN ET,0,0,0,0,0,0,0,STARVE ZERO
HSS LONG TAP 24 X 1.5 TYPE C YG,0,0,0,0,0,0,0,STARVE ZERO
HSS LONG TAP 24 X 3 7H TIN ET,1,0,1,0,0,0,0,STARVE WATCH
HSS LONG TAP 3 X .5 TYPE C YG,25,0,24,0,0,0,0,STARVE CRITICAL
"HSS LONG TAP 3/8"" UNC TYPE C ET",5,0,0,0,0,0,0,STARVE ZERO
HSS LONG TAP 30 X 3 7H TIN ET,2,0,1,0,0,0,0,STARVE CRITICAL
HSS LONG TAP 30 X 3.5 7H TIN ET,1,0,1,0,0,0,0,STARVE WATCH
HSS LONG TAP 36 X 1.5 TYPE C TOTEM,0,0,0,0,0,0,0,STARVE ZERO
HSS LONG TAP 4 X .7 SPPT TIN ET,8,0,0,0,0,0,0,STARVE ZERO
HSS LONG TAP 4 X .7 TYPE C TIN ET,8,0,5,0,0,0,0,STARVE WATCH
HSS LONG TAP 4 X .7 TYPE C YG,33,0,2,0,0,0,0,STARVE CRITICAL
HSS LONG TAP 5 X .8 SPFL ET,3,0,0,0,0,0,0,STARVE ZERO
HSS LONG TAP 5 X .8 SPFL TIN ET,3,0,0,0,0,0,0,STARVE ZERO
HSS LONG TAP 5 X .8 TYPE B SPPT ET,8,0,0,0,0,0,0,STARVE ZERO
HSS LONG TAP 5 X .8 TYPE B SPPT TIN ET,150,0,0,0,0,0,0,STARVE ZERO
HSS LONG TAP 5 X .8 TYPE C ET,92,0,51,0,0,0,0,STARVE WATCH
"HSS LONG TAP 5/16"" UNC TYPE C ET",1,0,0,0,0,0,0,STARVE ZERO
HSS LONG TAP 6 X 1 6G TYPE C GOLD TOTEM,32,0,0,0,0,0,0,STARVE ZERO
HSS LONG TAP 6 X 1 SPFL ET,1,0,0,0,0,0,0,STARVE ZERO
HSS LONG TAP 6 X 1 SPFL TIN ET,3,0,0,0,0,0,0,STARVE ZERO
HSS LONG TAP 6 X 1 SPPT TIN ET,25,0,0,0,0,0,0,STARVE ZERO
HSS LONG TAP 6 X 1 TYPE B SPPT ET,8,0,0,0,0,0,0,STARVE ZERO
HSS LONG TAP 6 X 1 TYPE C ET,110,0,60,0,0,0,0,STARVE CRITICAL
HSS LONG TAP 6 X 1 TYPE C YG,15,0,15,0,0,0,0,STARVE WATCH
HSS LONG TAP 8 X 1 TYPE C TOTEM,15,0,0,0,0,0,0,STARVE ZERO
HSS LONG TAP 8 X 1.25 SPFL ET,7,0,0,0,0,0,0,STARVE ZERO
HSS LONG TAP 8 X 1.25 SPFL TIN ET,25,0,0,0,0,0,0,STARVE ZERO
HSS LONG TAP 8 X 1.25 SPPT ET,3,0,0,0,0,0,0,STARVE ZERO
HSS LONG TAP 8 X 1.25 TYPE C ET,69,0,82,0,0,0,0,STARVE WATCH
HSS LONG TAP 8 X 1.25 TYPE C TIN ET,123,0,115,0,0,0,0,STARVE WATCH
"HSS M/C REAMER 11/16"" (17.46) ADDISON",0,0,0,0,0,0,0,STARVE ZERO
HSS M/C REAMER 12.5 ADDISON,2,0,0,0,0,0,0,STARVE ZERO
HSS M/C REAMER 17 ADDISON,1,0,0,0,0,0,0,STARVE ZERO
HSS M/C REAMER 17.5 MIRANDA,0,0,0,0,0,0,0,STARVE ZERO
HSS M/C REAMER 25 ADDISON,1,0,0,0,0,0,0,STARVE ZERO
"HSS M/C REAMER 3/8"" (9.52) ADDISON",0,0,0,0,0,0,0,STARVE ZERO
HSS M/C REAMER 35 ADDISON,0,0,0,0,0,0,0,STARVE ZERO
HSS M/C REAMER 5 MIRANDA,0,0,3,0,0,0,0,STARVE CRITICAL
HSS M/C REAMER 6 ADDISON,4,0,1,0,0,0,0,STARVE CRITICAL
HSS M/C REAMER 8 MIRANDA,7,0,4,0,0,0,0,STARVE CRITICAL
"HSS M/C REAMER 9/16"" (14.29) IT",1,0,0,0,0,0,0,STARVE ZERO
HSS M2 DRILL 12 ADDISON,17,0,0,0,0,0,0,STARVE ZERO
HSS M35 DRILL 10.2 ADDISON,5,0,0,0,0,0,0,STARVE ZERO
HSS M35 DRILL 10.5 ADDISON,6,0,0,0,0,0,0,STARVE ZERO
HSS M35 DRILL 10.7 ADDISON,2,0,1,0,0,0,0,STARVE CRITICAL
HSS M35 DRILL 11 TOTEM,2,0,0,0,0,0,0,STARVE ZERO
HSS M35 DRILL 11.2 ADDISON,2,0,0,0,0,0,0,STARVE ZERO
HSS M35 DRILL 13 TOTEM,2,0,0,0,0,0,0,STARVE ZERO
HSS M35 DRILL 2 ADDISON,48,0,20,0,0,0,0,STARVE CRITICAL
HSS M35 DRILL 2.7 ADDISON,43,0,0,0,0,0,0,STARVE ZERO
