stock_item_name,reason
HSS ROUND DIE 10 X 1.25 TOTEM,not a tap
HSS ROUND DIE 10 X 1.5 TOTEM,not a tap
HSS ROUND DIE 11 X 1.5 TOTEM,not a tap
HSS ROUND DIE 12 X 1 TOTEM,not a tap
HSS ROUND DIE 12 X 1.25 TOTEM,not a tap
HSS ROUND DIE 12 X 1.5 TOTEM,not a tap
HSS ROUND DIE 12 X 1.75 TOTEM,not a tap
HSS ROUND DIE 14 X 1 TOTEM,not a tap
HSS ROUND DIE 14 X 1.25 TOTEM,not a tap
HSS ROUND DIE 14 X 1.5 TOTEM,not a tap
HSS ROUND DIE 14 X 2 TOTEM,not a tap
HSS ROUND DIE 15 X 1.5 TOTEM,not a tap
HSS ROUND DIE 16 X 1 TOTEM,not a tap
HSS ROUND DIE 16 X 1.25 TOTEM,not a tap
HSS ROUND DIE 16 X 1.5 TOTEM,not a tap
HSS ROUND DIE 16 X 2 TOTEM,not a tap
HSS ROUND DIE 18 X 1 TOTEM,not a tap
HSS ROUND DIE 18 X 1.5 TOTEM,not a tap
HSS ROUND DIE 18 X 2 TOTEM,not a tap
HSS ROUND DIE 18 X 2.5 TOTEM,not a tap
HSS ROUND DIE 2 X .4 TOTEM,not a tap
HSS ROUND DIE 2.5 X .45 TOTEM,not a tap
HSS ROUND DIE 2.6 X .45 TOTEM,not a tap
"HSS ROUND DIE 2"" BSP OD4"" TOTEM",not a tap
"HSS ROUND DIE 2"" BSPT TOTEM",not a tap
HSS ROUND DIE 20 X 1 TOTEM,not a tap
"HSS ROUND DIE 20 X 1.5 OD2"" TOTEM",not a tap
HSS ROUND DIE 20 X 1.5 TOTEM,not a tap
"HSS ROUND DIE 20 X 2.5 OD2"" TOTEM",not a tap
HSS ROUND DIE 20 X 2.5 TOTEM,not a tap
HSS ROUND DIE 22 X 1 TOTEM,not a tap
HSS ROUND DIE 22 X 1.5 TOTEM,not a tap
HSS ROUND DIE 22 X 2.5 TOTEM,not a tap
HSS ROUND DIE 24 X 1 TOTEM,not a tap
HSS ROUND DIE 24 X 1.5 TOTEM,not a tap
HSS ROUND DIE 24 X 2 TOTEM,not a tap
HSS ROUND DIE 24 X 3 TOTEM,not a tap
HSS ROUND DIE 25 X 1 TOTEM,not a tap
HSS ROUND DIE 25 X 1.5 TOTEM,not a tap
HSS ROUND DIE 26 X 1.5 TOTEM,not a tap
HSS ROUND DIE 27 X 1.5 TOTEM,not a tap
HSS ROUND DIE 27 X 3 TOTEM,not a tap
HSS ROUND DIE 28 X 1.5 TOTEM,not a tap
HSS ROUND DIE 3 X .5 TOTEM,not a tap
HSS ROUND DIE 3.5 X .6 TOTEM,not a tap
"HSS ROUND DIE 3/16"" BSW TOTEM",not a tap
"HSS ROUND DIE 3/4"" BSP TOTEM",not a tap
"HSS ROUND DIE 3/4"" BSPT OD2""  TOTEM",not a tap
"HSS ROUND DIE 3/4"" BSW OD 1-1/2"" TOTEM",not a tap
"HSS ROUND DIE 3/4"" NPT TOTEM",not a tap
"HSS ROUND DIE 3/4"" UNC OD 1-1/2"" TOTEM",not a tap
"HSS ROUND DIE 3/4"" UNF OD 1-1/2"" TOTEM",not a tap
"HSS ROUND DIE 3/8"" BSB TOTEM",not a tap
"HSS ROUND DIE 3/8"" BSP TOTEM",not a tap
"HSS ROUND DIE 3/8"" BSPT TOTEM",not a tap
"HSS ROUND DIE 3/8"" BSW TOTEM",not a tap
"HSS ROUND DIE 3/8"" NPT OD 2"" TOTEM",not a tap
"HSS ROUND DIE 3/8"" NPT TOTEM",not a tap
"HSS ROUND DIE 3/8"" UNC TOTEM",not a tap
"HSS ROUND DIE 3/8"" UNF TOTEM",not a tap
"HSS ROUND DIE 30 X 1.5 OD 2"" TOTEM",not a tap
"HSS ROUND DIE 30 X 2 OD 2-1/4"" TOTEM",not a tap
"HSS ROUND DIE 30 X 2 OD2"" TOTEM",not a tap
"HSS ROUND DIE 30 X 3.5 OD 2-1/4"" TOTEM",not a tap
"HSS ROUND DIE 30 X 3.5 OD 2"" TOTEM",not a tap
"HSS ROUND DIE 32 X 1.5 OD2-1/4"" TOTEM",not a tap
HSS ROUND DIE 32 X 1.5 TOTEM,not a tap
"HSS ROUND DIE 34 X 1.5 OD 2-1/2"" TOTEM",not a tap
HSS ROUND DIE 36 X 1.5 TOTEM,not a tap
HSS ROUND DIE 36 X 2 TOTEM,not a tap
"HSS ROUND DIE 36 X 3 OD2-1/2"" TOTEM",not a tap
HSS ROUND DIE 36 X 4 TOTEM,not a tap
HSS ROUND DIE 38 X 1.5 TOTEM,not a tap
HSS ROUND DIE 4 X .5 TOTEM,not a tap
HSS ROUND DIE 4 X .7 TOTEM,not a tap
"HSS ROUND DIE 40 X 1.5 OD 2-1/2"" TOTEM",not a tap
HSS ROUND DIE 42 X 4.5 TOTEM,not a tap
"HSS ROUND DIE 45 X 1.5 OD3"" TOTEM",not a tap
HSS ROUND DIE 5 X .8 TOTEM,not a tap
"HSS ROUND DIE 5/16"" BSW TOTEM",not a tap
"HSS ROUND DIE 5/16"" UNC OD 1"" TOTEM",not a tap
"HSS ROUND DIE 5/16"" UNF OD 1"" TOTEM",not a tap
"HSS ROUND DIE 5/32"" BSW TOTEM",not a tap
"HSS ROUND DIE 5/8"" BSF TOTEM",not a tap
"HSS ROUND DIE 5/8"" BSP TOTEM",not a tap
"HSS ROUND DIE 5/8"" BSW TOTEM",not a tap
"HSS ROUND DIE 5/8"" UNC OD 1-1/2"" TOTEM",not a tap
"HSS ROUND DIE 5/8"" UNF OD 1-1/2"" TOTEM",not a tap
"HSS ROUND DIE 5/8"" UNF TOTEM",not a tap
HSS ROUND DIE 56 X 4 TOTEM,not a tap
HSS ROUND DIE 6 X .5 TOTEM,not a tap
"HSS ROUND DIE 6 X .75 OD 1"" TOTEM",not a tap
HSS ROUND DIE 6 X .75 TOTEM,not a tap
"HSS ROUND DIE 6 X 1 OD 1"" TOTEM",not a tap
HSS ROUND DIE 6 X 1 TOTEM,not a tap
HSS ROUND DIE 60 X 4 TOTEM,not a tap
HSS ROUND DIE 7 X 1 TOTEM,not a tap
"HSS ROUND DIE 7/16"" BSW TOTEM",not a tap
"HSS ROUND DIE 7/16"" UNC TOTEM",not a tap
"HSS ROUND DIE 7/16"" UNF TOTEM",not a tap
"HSS ROUND DIE 7/32"" BSW TOTEM",not a tap
"HSS ROUND DIE 7/8"" BSP TOTEM",not a tap
"HSS ROUND DIE 7/8"" BSW TOTEM",not a tap
"HSS ROUND DIE 7/8"" UNF TOTEM",not a tap
HSS ROUND DIE 8 UNC TOTEM,not a tap
HSS ROUND DIE 8 X .75 TOTEM,not a tap
HSS ROUND DIE 8 X 1 TOTEM,not a tap
HSS ROUND DIE 8 X 1.25 TOTEM,not a tap
HSS ROUND DIE 9 X 1 TOTEM,not a tap
HSS ROUND DIE 9 X 1.25 TOTEM,not a tap
"HSS ROUND DIE 9/16"" UNF TOTEM",not a tap
"HSS ROUND DIE 9/6"" UNF OD 1-1/2"" TOTEM",not a tap
"HSS STUB DRILL 1/4"" (6.35) TOTEM",not a tap
"HSS STUB DRILL 11/64"" (4.37) TOTEM",not a tap
HSS STUB DRILL 12.5 TOTEM,not a tap
"HSS STUB DRILL 3/32"" (2.38) TOTEM",not a tap
"HSS STUB DRILL 5/16"" (7.94) TOTEM",not a tap
"HSS STUB DRILL 5/32""(3.97) TOTEM",not a tap
"HSS STUB DRILL 7/64"" (2.78) TOTEM",not a tap
"HSS STUB DRILL 9/32"" (7.14) TOTEM",not a tap
HSS T/S DRILL 18 TOTEM,not a tap
HSS T/S DRILL 19 TOTEM,not a tap
HSS T/S DRILL 23 TOTEM,not a tap
HSS T/S DRILL 38 TOTEM,not a tap
