stock_item_name,list_rate,unit,brand,doc_title,effective_from,storage_path,page_no,price_per_piece,pack_qty,thread_form,size,grade,edp_code,confidence,note,updated_at
HSS TAP 8 UNC BOT TOTEM,461.0,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,461.0,1.0,UNF/UNC,8,Standard,,verified,,2026-08-10T11:02:26.42234+00:00
HSS TAP 8 UNC SEC TOTEM,461.0,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,461.0,1.0,UNF/UNC,8,Standard,,verified,,2026-08-10T11:02:26.42234+00:00
HSS TAP 8 UNC SET TOTEM,1383.0,SET,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,461.0,3.0,UNF/UNC,8,Standard,,verified,,2026-08-10T11:02:26.42234+00:00
HSS TAP 8 UNC TPR TOTEM,461.0,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,461.0,1.0,UNF/UNC,8,Standard,,review,,2026-08-10T11:02:26.42234+00:00
HSS TAP 8 UNF SET TOTEM,1383.0,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,461.0,3.0,UNF/UNC,8,Standard,,review,,2026-08-10T11:02:26.42234+00:00
HSS TAP 8 X 1 BOT TOTEM,597.0,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,5,597.0,1.0,Metric Coarse,8.0 X 1.00,Standard,,verified,,2026-08-10T11:02:26.42234+00:00
HSS TAP 8 X 1 PAIR TOTEM,1194.0,PAIR,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,5,597.0,2.0,Metric Coarse,8.0 X 1.00,Standard,,verified,,2026-08-10T11:02:26.42234+00:00
HSS TAP 8 X 1 SEC TOTEM,597.0,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,5,597.0,1.0,Metric Coarse,8.0 X 1.00,Standard,,verified,,2026-08-10T11:02:26.42234+00:00
HSS TAP 8 X 1 TPR TOTEM,597.0,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,5,597.0,1.0,Metric Coarse,8.0 X 1.00,Standard,,verified,,2026-08-10T11:02:26.42234+00:00
HSS TAP 8 X 1.25 6G BOT TOTEM,504.0,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,504.0,1.0,Metric Coarse,8.0 X 1.25,Standard,,review,invoice rate 325.00 != list 504.00,2026-08-10T16:28:57.046883+00:00
HSS TAP 8 X 1.25 BOT RT SPL TOTEM,504.0,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,504.0,1.0,Metric Coarse,8.0 X 1.25,Standard,,review,,2026-08-10T11:02:26.42234+00:00
HSS TAP 8 X 1.25 BOT TOTEM,504.0,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,504.0,1.0,Metric Coarse,8.0 X 1.25,Standard,,verified,,2026-08-10T11:02:26.42234+00:00
HSS TAP 8 X 1.25 S TOTEM,504.0,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,504.0,1.0,Metric Coarse,8.0 X 1.25,Standard,,review,,2026-08-10T16:28:57.046883+00:00
HSS TAP 8 X 1.25 SEC TOTEM,504.0,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,504.0,1.0,Metric Coarse,8.0 X 1.25,Standard,,verified,,2026-08-10T11:02:26.42234+00:00
HSS TAP 8 X 1.25 SET GOLD TOTEM,1725.0,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,9,575.0,3.0,Metric Coarse,8.0 X 1.25,STD GOLD,,review,,2026-08-10T11:02:26.42234+00:00
HSS TAP 8 X 1.25 SET TOTEM,1512.0,SET,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,504.0,3.0,Metric Coarse,8.0 X 1.25,Standard,,verified,,2026-08-10T11:02:26.42234+00:00
HSS TAP 8 X 1.25 SET XL GOLD TOTEM,1725.0,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,9,575.0,3.0,Metric Coarse,8.0 X 1.25,STD GOLD,,review,,2026-08-10T16:28:57.046883+00:00
