stock_item_name,list_rate,unit,brand,doc_title,effective_from,storage_path,page_no,price_per_piece,pack_qty,thread_form,size,grade,edp_code,confidence,note
HSS LH TAP 8 X 1.25 SET TOTEM,2041.20,SET,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,504.00,3,Metric Coarse,8.0 X 1.25,Standard,,verified,Left-hand tap: list +35% per price-list note 4 (p.27)
HSS LH TAP 8 X 1.25 SPFL TOTEM,680.40,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,504.00,1,Metric Coarse,8.0 X 1.25,Standard,,review,Left-hand tap: list +35% per price-list note 4 (p.27)
HSS LONG LH TAP 14 X 1.5 TYPE C TOTEM,1864.35,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,5,1381.00,1,Metric Coarse,14.0 X 1.50,Standard,,review,Left-hand tap: list +35% per price-list note 4 (p.27)
HSS LONG LH TAP 16 X 1.5 TYPE C TOTEM,1864.35,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,5,1381.00,1,Metric Coarse,16.0 X 1.50,Standard,,review,"Left-hand tap: list +35% per price-list note 4 (p.27) | invoice rate 2,371.00 != list 1,864.35"
HSS LONG LH TAP 18 X 1.5 TYPE C TOTEM,3195.45,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,5,2367.00,1,Metric Coarse,18.0 X 1.50,Standard,,review,"Left-hand tap: list +35% per price-list note 4 (p.27) | invoice rate 3,989.00 != list 3,195.45"
HSS LONG LH TAP 20 X 1.5 TYPE C TOTEM,4044.60,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,5,2996.00,1,Metric Coarse,20.0 X 1.50,Standard,,review,"Left-hand tap: list +35% per price-list note 4 (p.27) | invoice rate 5,196.15 != list 4,044.60"
HSS LONG LH TAP 22 X 2.5 TYPE C TOTEM,3838.05,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,2843.00,1,Metric Coarse,22.0 X 2.50,Standard,,review,Left-hand tap: list +35% per price-list note 4 (p.27)
HSS LONG LH TAP 24 X 3 TYPE C TOTEM,4275.45,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,3167.00,1,Metric Coarse,24.0 X 3.00,Standard,,review,"Left-hand tap: list +35% per price-list note 4 (p.27) | invoice rate 5,566.00 != list 4,275.45"
HSS LONG LH TAP 27 X 3 TYPE C TOTEM,6473.25,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,4795.00,1,Metric Coarse,27.0 X 3.00,Standard,,review,"Left-hand tap: list +35% per price-list note 4 (p.27) | invoice rate 8,004.00 != list 6,473.25"
"HSS LONG TAP 1/8"" BSP TOTEM",671.00,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,671.00,1,BSP,1/8,Standard,,review,
HSS LONG TAP 10 X 1 TYPE C TOTEM,678.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,5,678.00,1,Metric Coarse,10.0 X 1.00/1.25,Standard,,review,invoice rate 988.00 != list 678.00
HSS LONG TAP 10 X 1.5 SC4 TOTEM,609.00,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,609.00,1,Metric Coarse,10.0 X 1.50,Standard,,review,
HSS LONG TAP 10 X 1.5 TYPE B TOTEM,609.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,609.00,1,Metric Coarse,10.0 X 1.50,Standard,,review,"invoice rate 1,095.00 != list 609.00"
HSS LONG TAP 10 X 1.5 TYPE C TOTEM,609.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,609.00,1,Metric Coarse,10.0 X 1.50,Standard,,review,invoice rate 918.00 != list 609.00
HSS LONG TAP 12 X 1 TYPE C TOTEM,1111.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,5,1111.00,1,Metric Coarse,12.0 X 1.00/1.25/1.50,Standard,,review,"invoice rate 1,419.00 != list 1,111.00"
HSS LONG TAP 12 X 1.75 SC4 TOTEM,947.00,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,947.00,1,Metric Coarse,12.0 X 1.75,Standard,,review,
HSS LONG TAP 12 X 1.75 TYPE B TOTEM,947.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,947.00,1,Metric Coarse,12.0 X 1.75,Standard,,review,"invoice rate 1,534.00 != list 947.00"
HSS LONG TAP 12 X 1.75 TYPE C TOTEM,947.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,947.00,1,Metric Coarse,12.0 X 1.75,Standard,,review,"invoice rate 1,297.00 != list 947.00"
HSS LONG TAP 14 X 1.5 SC4 TOTEM,1381.00,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,5,1381.00,1,Metric Coarse,14.0 X 1.50,Standard,,review,
HSS LONG TAP 14 X 1.5 TYPE C TOTEM,1381.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,5,1381.00,1,Metric Coarse,14.0 X 1.50,Standard,,review,"invoice rate 1,756.00 != list 1,381.00"
HSS LONG TAP 14 X 2 TYPE C TOTEM,1378.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,1378.00,1,Metric Coarse,14.0 X 2.00,Standard,,review,"invoice rate 1,882.00 != list 1,378.00"
HSS LONG TAP 14 X 2 TYPR C TOTEM,1378.00,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,1378.00,1,Metric Coarse,14.0 X 2.00,Standard,,review,
